move,actions,mine,pycuber,rubik-cube
U,U-y cw,836,345000,60300
L,L-x cw,1360,377000,60000
F,F-z cw,1440,385000,60700
R,L-x cw,1370,441000,60700
B,F-z cw,1420,457000,60700
D,U-y cw,790,436000,60800
