KernelVersionCompetitionSourceId,KernelVersionId,SourceCompetitionId,ScriptId,ParentScriptVersionId,ScriptLanguageId,AuthorUserId,CreationDate,VersionNumber,Title,EvaluationDate,IsChange,TotalLines,LinesInsertedFromPrevious,LinesChangedFromPrevious,LinesUnchangedFromPrevious,LinesInsertedFromFork,LinesDeletedFromFork,LinesChangedFromFork,LinesUnchangedFromFork,TotalVotes,IsInternetEnabled,RunningTimeInMilliseconds,AcceleratorTypeId,DockerImage
69787177,162102041,50160,50151372,,9,3772888,02/07/2024 21:27:46,4.0,Home Credit 2024 Starter Notebook,02/07/2024,True,259.0,3.0,0.0,256.0,,,,,767,False,156145.0,0,gcr.io/kaggle-images/python@sha256:618db94e0a0ecfecbf8f52abb510c5b9fb718f0f057a9f37988bebfc3051f849
69758584,161988552,50160,50530847,,9,6259210,02/07/2024 01:58:07,19.0,"[Home Credit CRMS, 2024] EDA and Submission",02/07/2024,True,240.0,2.0,0.0,238.0,,,,,195,True,35016.0,0,gcr.io/kaggle-images/python@sha256:287c4e0e224e592dc6113940a6cf3d099b814c7bff0c1e8da57f8e6bad123ac5
70930422,166530112,50160,50550454,,9,4516327,03/11/2024 20:20:04,12.0,Home Credit Baseline,03/11/2024,True,360.0,18.0,0.0,342.0,,,,,163,False,1229423.0,2,gcr.io/kaggle-private-byod/python@sha256:54edb36433adec1db1cadce7bc9d87bf55b6b0cd1c15244a1a75e5e1d282db6c
70932326,166537393,50160,50734341,,9,8273630,03/11/2024 21:39:33,27.0,HomeCredit|Starter|Inference|V1,03/11/2024,True,656.0,6.0,0.0,650.0,219.0,298.0,0.0,437.0,86,False,302516.0,2,gcr.io/kaggle-private-byod/python@sha256:54edb36433adec1db1cadce7bc9d87bf55b6b0cd1c15244a1a75e5e1d282db6c
74110578,178806779,50160,57495470,,9,19020977,05/20/2024 18:50:23,12.0,🏠Explained  Home Credit pipeline,05/20/2024,True,1643.0,43.0,0.0,1600.0,,,,,81,False,283945.0,8,gcr.io/kaggle-private-byod/python@sha256:7251358b29231b2d9eab6dfe950c0cfcc37fdf4fc1fe998b4d8e2caf393f3e8a
72416495,172045210,50160,54558620,,9,5092786,04/15/2024 01:09:16,2.0,Home Credit 2024 | DuckDB | SQL | Introduction,04/15/2024,True,139.0,1.0,0.0,138.0,,,,,81,True,46284.0,0,gcr.io/kaggle-images/python@sha256:4350fc8055c5007e4c24dd31e4e4ab30ccdad9e17742517e1784b29466212bf1
73932179,178161430,50160,57405220,,9,14571819,05/17/2024 08:25:15,3.0,This is the way,05/17/2024,False,70.0,0.0,0.0,70.0,,,,,78,False,300317.0,8,gcr.io/kaggle-private-byod/python@sha256:7251358b29231b2d9eab6dfe950c0cfcc37fdf4fc1fe998b4d8e2caf393f3e8a
72688972,173047431,50160,55090846,,9,14686730,04/20/2024 16:51:21,1.0,Home Credit - Credit Risk Model Stability V2,04/20/2024,True,392.0,392.0,0.0,0.0,,,,,74,False,26915.0,2,gcr.io/kaggle-private-byod/python@sha256:7251358b29231b2d9eab6dfe950c0cfcc37fdf4fc1fe998b4d8e2caf393f3e8a
69868200,162370623,50160,50723779,,9,8163878,02/10/2024 06:34:55,2.0,Home Credit: AutoML Inference,02/10/2024,True,399.0,7.0,0.0,392.0,43.0,32.0,0.0,356.0,70,False,332689.0,2,gcr.io/kaggle-private-byod/python@sha256:54edb36433adec1db1cadce7bc9d87bf55b6b0cd1c15244a1a75e5e1d282db6c
69929436,162570472,50160,50677754,,9,3137068,02/12/2024 04:41:27,4.0,日本語_特徴量の日本語訳_Japanese_translation,02/12/2024,True,41.0,20.0,0.0,21.0,,,,,66,False,3043.0,0,gcr.io/kaggle-images/python@sha256:287c4e0e224e592dc6113940a6cf3d099b814c7bff0c1e8da57f8e6bad123ac5
70960585,166659540,50160,51023490,,9,3802145,03/12/2024 14:43:31,7.0,[Home]AfterSubmissionsOpen 3/11/2024[LB.567],03/12/2024,True,388.0,1.0,0.0,387.0,23.0,11.0,0.0,365.0,58,False,4520626.0,2,gcr.io/kaggle-private-byod/python@sha256:54edb36433adec1db1cadce7bc9d87bf55b6b0cd1c15244a1a75e5e1d282db6c
70612914,165204743,50160,51454043,,9,937321,03/03/2024 04:32:52,2.0,[Home Credit 2024] EDA Part I,03/03/2024,True,467.0,28.0,0.0,439.0,,,,,54,True,147257.0,0,gcr.io/kaggle-images/python@sha256:287c4e0e224e592dc6113940a6cf3d099b814c7bff0c1e8da57f8e6bad123ac5
69776055,162059696,50160,50604319,,9,1623670,02/07/2024 14:13:52,2.0,Home Credit | Drop date features,02/07/2024,True,302.0,1.0,0.0,301.0,,,,,54,False,796610.0,0,gcr.io/kaggle-images/python@sha256:287c4e0e224e592dc6113940a6cf3d099b814c7bff0c1e8da57f8e6bad123ac5
72290760,171612615,50160,54536846,,9,18285585,04/12/2024 04:59:41,3.0,Home Credit (LGB + Cat ensemble),04/12/2024,True,477.0,59.0,0.0,418.0,62.0,29.0,0.0,415.0,53,False,663117.0,8,gcr.io/kaggle-private-byod/python@sha256:e23c22630b6d9c427cbe8c1aa205f5e70a0f46c9aa0d3c835c6f0469306fa1aa
73216713,175184612,50160,54951316,,9,2993575,05/02/2024 03:12:45,8.0,🔩Preprocessing - Categorical Data Control,05/02/2024,True,255.0,11.0,0.0,244.0,,,,,49,False,4897.0,0,gcr.io/kaggle-images/python@sha256:4350fc8055c5007e4c24dd31e4e4ab30ccdad9e17742517e1784b29466212bf1
72499731,172326966,50160,54651327,,9,16832102,04/16/2024 14:29:15,9.0,Home Credit (LGB + Cat ensemble),04/16/2024,True,645.0,2.0,0.0,643.0,160.0,69.0,0.0,485.0,48,False,1312696.0,8,gcr.io/kaggle-private-byod/python@sha256:e23c22630b6d9c427cbe8c1aa205f5e70a0f46c9aa0d3c835c6f0469306fa1aa
69943208,162623333,50160,50710903,,9,13735282,02/12/2024 14:18:24,9.0,Home Credit: baseline - Inference,02/12/2024,True,268.0,25.0,0.0,243.0,,,,,48,False,304127.0,2,gcr.io/kaggle-private-byod/python@sha256:54edb36433adec1db1cadce7bc9d87bf55b6b0cd1c15244a1a75e5e1d282db6c
