nan	0.5	1	2	3	5	7
0	0.352	0.406	0.493	0.520	0.578	0.612
5	0.411	0.465	0.545	0.584	0.658	0.701
10	0.481	0.527	0.601	0.642	0.704	0.726
20	0.699	0.719	0.757	0.775	0.794	0.799
30	0.848	0.846	0.862	0.862	0.869	0.879
40	0.948	0.936	0.932	0.916	0.937	0.969
50	1.002	0.986	0.974	0.961	0.963	0.971
60	1.029	1.024	1.008	0.993	0.990	1.001
70	1.029	1.039	1.027	1.006	1.016	1.010
80	0.999	1.025	1.024	1.023	1.009	1.025
90	1	1	1	1	1	1
100	0.999	1.025	1.024	1.023	1.009	1.025
110	1.029	1.039	1.027	1.006	1.016	1.010
120	1.029	1.024	1.008	0.993	0.990	1.001
130	1.002	0.986	0.974	0.961	0.963	0.971
140	0.948	0.936	0.932	0.916	0.937	0.969
150	0.848	0.846	0.862	0.862	0.869	0.879
160	0.699	0.719	0.757	0.775	0.794	0.799
170	0.481	0.527	0.601	0.642	0.704	0.726
175	0.411	0.465	0.545	0.584	0.658	0.701
180	0.352	0.406	0.493	0.520	0.578	0.612
