nan	0.10	0.20	0.50	0.70	1.00	2.00	3.00	5.00	7.00	10.00
0	0.203	0.203	0.203	0.247	0.290	0.387	0.463	0.551	0.598	0.640
2	0.214	0.214	0.214	0.260	0.325	0.462	0.535	0.601	0.638	0.667
5	0.330	0.330	0.330	0.378	0.423	0.509	0.561	0.624	0.659	0.682
7	0.367	0.367	0.367	0.396	0.436	0.527	0.575	0.639	0.679	0.690
10	0.414	0.414	0.414	0.448	0.490	0.572	0.621	0.675	0.700	0.723
15	0.531	0.531	0.531	0.555	0.588	0.652	0.688	0.725	0.751	0.771
20	1.030	1.030	0.637	0.649	0.671	0.721	0.749	0.779	0.790	0.807
25	1.294	1.007	0.720	0.723	0.741	0.778	0.797	0.821	0.830	0.850
30	1.127	0.962	0.790	0.784	0.794	0.824	0.839	0.858	0.862	0.875
40	1.038	0.944	0.899	0.882	0.882	0.895	0.904	0.912	0.921	0.923
50	1.010	0.967	0.970	0.953	0.949	0.952	0.954	0.956	0.960	0.959
60	1.002	0.982	1.003	1.000	0.997	0.990	0.990	0.989	0.989	0.986
70	1.000	0.992	0.984	1.014	1.017	1.018	1.014	1.013	1.005	1.005
80	1.000	0.997	0.995	0.994	0.999	1.021	1.019	1.016	1.017	1.007
90	1	1	1	1	1	1	1	1	1	1
100	1.000	0.997	0.995	0.994	0.999	1.021	1.019	1.016	1.017	1.007
110	1.000	0.992	0.984	1.014	1.017	1.018	1.014	1.013	1.005	1.005
120	1.002	0.982	1.003	1.000	0.997	0.990	0.990	0.989	0.989	0.986
130	1.010	0.967	0.970	0.953	0.949	0.952	0.954	0.956	0.960	0.959
140	1.038	0.944	0.899	0.882	0.882	0.895	0.904	0.912	0.921	0.923
150	1.127	0.962	0.790	0.784	0.794	0.824	0.839	0.858	0.862	0.875
155	1.294	1.007	0.720	0.723	0.741	0.778	0.797	0.821	0.830	0.850
160	1.030	1.030	0.637	0.649	0.671	0.721	0.749	0.779	0.790	0.807
165	0.531	0.531	0.531	0.555	0.588	0.652	0.688	0.725	0.751	0.771
170	0.414	0.414	0.414	0.448	0.490	0.572	0.621	0.675	0.700	0.723
173	0.367	0.367	0.367	0.396	0.436	0.527	0.575	0.639	0.679	0.690
175	0.330	0.330	0.330	0.378	0.423	0.509	0.561	0.624	0.659	0.682
178	0.214	0.214	0.214	0.260	0.325	0.462	0.535	0.601	0.638	0.667
180	0.203	0.203	0.203	0.247	0.290	0.387	0.463	0.551	0.598	0.640
