MJD,Mag,DMag,magsys,Telescope,Detector,Source
57887.97000,12.680,0.020,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57889.91000,12.370,0.030,Landolt,P40,--,Tsvektkov+18: arXiv:1801.00340
57891.91000,12.190,0.030,Landolt,M70,--,Tsvektkov+18: arXiv:1801.00340
57892.02000,12.180,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57898.02000,12.220,0.030,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
57900.95000,12.260,0.010,Landolt,K250,--,Tsvektkov+18: arXiv:1801.00340
57900.98000,12.230,0.030,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
57903.85000,12.160,0.030,Landolt,M70,--,Tsvektkov+18: arXiv:1801.00340
57903.96000,12.260,0.010,Landolt,K250,--,Tsvektkov+18: arXiv:1801.00340
57904.99000,12.240,0.030,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
57911.88000,12.150,0.020,Landolt,M70,--,Tsvektkov+18: arXiv:1801.00340
57911.89000,12.160,0.030,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57913.95000,12.210,0.040,Landolt,T18,--,Tsvektkov+18: arXiv:1801.00340
57915.89000,12.260,0.020,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57915.97000,12.240,0.030,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
57921.03000,12.240,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57922.95000,12.270,0.020,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57925.81000,12.260,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57925.95000,12.250,0.040,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
57927.04000,12.270,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57927.91000,12.190,0.020,Landolt,M70,--,Tsvektkov+18: arXiv:1801.00340
57928.84000,12.260,0.030,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57929.83000,12.240,0.030,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57930.82000,12.250,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57931.80000,12.240,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57932.81000,12.240,0.030,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57933.80000,12.240,0.040,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57933.93000,12.240,0.020,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57939.82000,12.220,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57941.90000,12.230,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57941.92000,12.200,0.050,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
57944.05000,12.210,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57955.96000,12.230,0.030,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
57960.00000,12.210,0.020,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57965.83000,12.210,0.030,Landolt,M20,--,Tsvektkov+18: arXiv:1801.00340
57967.06000,12.230,0.020,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57971.78000,12.220,0.060,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57978.00000,12.270,0.030,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57979.97000,12.300,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57980.86000,12.320,0.030,Landolt,M20,--,Tsvektkov+18: arXiv:1801.00340
57982.03000,12.340,0.020,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57985.04000,12.360,0.030,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57985.79000,12.380,0.030,Landolt,M20,--,Tsvektkov+18: arXiv:1801.00340
57989.98000,12.490,0.020,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57990.88000,12.520,0.030,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
57991.99000,12.530,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
57992.08000,12.510,0.030,Landolt,S60,--,Tsvektkov+18: arXiv:1801.00340
57993.03000,12.550,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
57993.96000,12.600,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
57994.87000,12.610,0.030,Landolt,P40,--,Tsvektkov+18: arXiv:1801.00340
57994.95000,12.620,0.030,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57996.80000,12.680,0.030,Landolt,P40,--,Tsvektkov+18: arXiv:1801.00340
57996.83000,12.690,0.040,Landolt,M20,--,Tsvektkov+18: arXiv:1801.00340
57997.86000,12.810,0.030,Landolt,P40,--,Tsvektkov+18: arXiv:1801.00340
57998.94000,12.870,0.060,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
58001.05000,12.970,0.030,Landolt,P40,--,Tsvektkov+18: arXiv:1801.00340
58003.79000,13.140,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58004.87000,13.250,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58005.82000,13.340,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58006.76000,13.450,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58007.80000,13.570,0.030,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58007.88000,13.580,0.040,Landolt,P40,--,Tsvektkov+18: arXiv:1801.00340
58008.75000,13.640,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58008.82000,13.670,0.040,Landolt,M20,--,Tsvektkov+18: arXiv:1801.00340
58010.94000,13.790,0.040,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
