MJD,Mag,DMag,magsys,Telescope,Detector,Source
58013.81000,13.870,0.030,Landolt,P40,--,Tsvektkov+18: arXiv:1801.00340
58018.69000,13.990,0.060,Landolt,M20,--,Tsvektkov+18: arXiv:1801.00340
58018.95000,13.910,0.030,Landolt,P40,--,Tsvektkov+18: arXiv:1801.00340
58019.94000,13.970,0.030,Landolt,P40,--,Tsvektkov+18: arXiv:1801.00340
58020.78000,13.970,0.030,Landolt,P40,--,Tsvektkov+18: arXiv:1801.00340
58021.80000,13.940,0.020,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
58024.88000,13.930,0.030,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
58026.85000,13.940,0.040,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
58027.93000,13.980,0.030,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
58028.90000,13.960,0.030,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
58039.86000,14.200,0.030,Landolt,P40,--,Tsvektkov+18: arXiv:1801.00340
58043.65000,14.160,0.040,Landolt,M70,--,Tsvektkov+18: arXiv:1801.00340
58048.90000,14.230,0.030,Landolt,P40,--,Tsvektkov+18: arXiv:1801.00340
58051.80000,14.230,0.030,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
58058.97000,14.340,0.030,Landolt,P40,--,Tsvektkov+18: arXiv:1801.00340
58060.65000,14.370,0.040,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58062.64000,14.340,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58074.77000,14.450,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58075.70000,14.470,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58094.72000,14.600,0.020,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
