MJD,Mag,DMag,magsys,Telescope,Detector,Source
57887.97000,13.320,0.020,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57889.91000,13.300,0.040,Landolt,P40,--,Tsvektkov+18: arXiv:1801.00340
57891.91000,13.250,0.030,Landolt,M70,--,Tsvektkov+18: arXiv:1801.00340
57892.02000,13.200,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57898.02000,13.330,0.030,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
57900.98000,13.370,0.030,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
57903.85000,13.480,0.030,Landolt,M70,--,Tsvektkov+18: arXiv:1801.00340
57904.99000,13.520,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
57911.88000,13.820,0.020,Landolt,M70,--,Tsvektkov+18: arXiv:1801.00340
57911.89000,13.790,0.030,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57913.95000,13.930,0.040,Landolt,T18,--,Tsvektkov+18: arXiv:1801.00340
57915.89000,14.010,0.020,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57915.97000,14.000,0.040,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
57921.03000,14.180,0.030,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57922.95000,14.220,0.020,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57925.81000,14.310,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57925.95000,14.260,0.050,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
57927.04000,14.340,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57927.91000,14.350,0.030,Landolt,M70,--,Tsvektkov+18: arXiv:1801.00340
57928.84000,14.350,0.030,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57929.83000,14.400,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57930.82000,14.410,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57931.80000,14.390,0.040,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57932.81000,14.440,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57933.80000,14.460,0.030,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57933.93000,14.420,0.030,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57939.82000,14.520,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57941.90000,14.560,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57941.92000,14.470,0.040,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
57944.05000,14.590,0.030,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57955.96000,14.680,0.030,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
57960.00000,14.750,0.020,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57967.06000,14.820,0.020,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57971.78000,14.920,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57975.07000,14.900,0.050,Landolt,S60,--,Tsvektkov+18: arXiv:1801.00340
57978.00000,15.050,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57979.97000,15.110,0.030,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57980.86000,15.100,0.040,Landolt,M20,--,Tsvektkov+18: arXiv:1801.00340
57982.03000,15.160,0.020,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57985.04000,15.180,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57985.79000,15.230,0.080,Landolt,M20,--,Tsvektkov+18: arXiv:1801.00340
57989.87000,15.420,0.030,Landolt,S60,--,Tsvektkov+18: arXiv:1801.00340
57989.98000,15.450,0.040,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57990.88000,15.440,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
57991.99000,15.480,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
57992.08000,15.540,0.040,Landolt,S60,--,Tsvektkov+18: arXiv:1801.00340
57993.03000,15.530,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
57993.96000,15.600,0.030,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
57994.95000,15.760,0.030,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57996.80000,15.740,0.040,Landolt,P40,--,Tsvektkov+18: arXiv:1801.00340
57996.83000,15.870,0.050,Landolt,M20,--,Tsvektkov+18: arXiv:1801.00340
57997.86000,15.810,0.030,Landolt,P40,--,Tsvektkov+18: arXiv:1801.00340
57998.94000,15.840,0.050,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
58003.79000,16.480,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58004.87000,16.610,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58005.82000,16.750,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58006.76000,16.880,0.030,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58007.80000,17.060,0.030,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58008.75000,17.090,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58008.82000,17.030,0.130,Landolt,M20,--,Tsvektkov+18: arXiv:1801.00340
58008.97000,17.120,0.080,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
58010.94000,17.220,0.040,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
58018.95000,17.420,0.070,Landolt,P40,--,Tsvektkov+18: arXiv:1801.00340
58021.80000,17.590,0.030,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
58024.88000,17.440,0.060,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
58026.85000,17.510,0.100,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
58027.93000,17.630,0.030,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
58028.90000,17.430,0.090,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
58051.80000,17.740,0.050,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
58060.65000,17.720,0.050,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58062.64000,17.810,0.030,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58074.77000,17.810,0.040,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58075.70000,17.870,0.030,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58094.72000,18.030,0.040,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
