date,week,isHoliday,description
2017-01-01,日,True,開國紀念日
2017-01-02,一,True,補假
2017-01-07,六,True,
2017-01-08,日,True,
2017-01-14,六,True,
2017-01-15,日,True,
2017-01-21,六,True,
2017-01-22,日,True,
2017-01-27,五,True,農曆除夕
2017-01-28,六,True,春節
2017-01-29,日,True,春節
2017-01-30,一,True,春節
2017-01-31,二,True,補假
2017-02-01,三,True,補假
2017-02-04,六,True,
2017-02-05,日,True,
2017-02-11,六,True,
2017-02-12,日,True,
2017-02-19,日,True,
2017-02-25,六,True,
2017-02-26,日,True,
2017-02-27,一,True,調整放假
2017-02-28,二,True,和平紀念日
2017-03-04,六,True,
2017-03-05,日,True,
2017-03-11,六,True,
2017-03-12,日,True,
2017-03-18,六,True,
2017-03-19,日,True,
2017-03-25,六,True,
2017-03-26,日,True,
2017-04-01,六,True,
2017-04-02,日,True,
2017-04-03,一,True,補假
2017-04-04,二,True,兒童節及民族掃墓節
2017-04-08,六,True,
2017-04-09,日,True,
2017-04-15,六,True,
2017-04-16,日,True,
2017-04-22,六,True,
2017-04-23,日,True,
2017-04-29,六,True,
2017-04-30,日,True,
2017-05-06,六,True,
2017-05-07,日,True,
2017-05-13,六,True,
2017-05-14,日,True,
2017-05-20,六,True,
2017-05-21,日,True,
2017-05-27,六,True,
2017-05-28,日,True,
2017-05-29,一,True,調整放假
2017-05-30,二,True,端午節
2017-06-04,日,True,
2017-06-10,六,True,
2017-06-11,日,True,
2017-06-17,六,True,
2017-06-18,日,True,
2017-06-24,六,True,
2017-06-25,日,True,
2017-07-01,六,True,
2017-07-02,日,True,
2017-07-08,六,True,
2017-07-09,日,True,
2017-07-15,六,True,
2017-07-16,日,True,
2017-07-22,六,True,
2017-07-23,日,True,
2017-07-29,六,True,
2017-07-30,日,True,
2017-08-05,六,True,
2017-08-06,日,True,
2017-08-12,六,True,
2017-08-13,日,True,
2017-08-19,六,True,
2017-08-20,日,True,
2017-08-26,六,True,
2017-08-27,日,True,
2017-09-02,六,True,
2017-09-03,日,True,
2017-09-09,六,True,
2017-09-10,日,True,
2017-09-16,六,True,
2017-09-17,日,True,
2017-09-23,六,True,
2017-09-24,日,True,
2017-10-01,日,True,
2017-10-04,三,True,中秋節
2017-10-07,六,True,
2017-10-08,日,True,
2017-10-09,一,True,調整放假
2017-10-10,二,True,國慶日
2017-10-14,六,True,
2017-10-15,日,True,
2017-10-21,六,True,
2017-10-22,日,True,
2017-10-28,六,True,
2017-10-29,日,True,
2017-11-04,六,True,
2017-11-05,日,True,
2017-11-11,六,True,
2017-11-12,日,True,
2017-11-18,六,True,
2017-11-19,日,True,
2017-11-25,六,True,
2017-11-26,日,True,
2017-12-02,六,True,
2017-12-03,日,True,
2017-12-09,六,True,
2017-12-10,日,True,
2017-12-16,六,True,
2017-12-17,日,True,
2017-12-23,六,True,
2017-12-24,日,True,
2017-12-30,六,True,
2017-12-31,日,True,
2018-01-01,一,True,開國紀念日
2018-01-06,六,True,
2018-01-07,日,True,
2018-01-13,六,True,
2018-01-14,日,True,
2018-01-20,六,True,
2018-01-21,日,True,
2018-01-27,六,True,
2018-01-28,日,True,
2018-02-03,六,True,
2018-02-04,日,True,
2018-02-10,六,True,
2018-02-11,日,True,
2018-02-15,四,True,農曆除夕
2018-02-16,五,True,春節
2018-02-17,六,True,春節
2018-02-18,日,True,春節
2018-02-19,一,True,補假
2018-02-20,二,True,補假
2018-02-24,六,True,
2018-02-25,日,True,
2018-02-28,三,True,和平紀念日
2018-03-03,六,True,
2018-03-04,日,True,
2018-03-10,六,True,
2018-03-11,日,True,
2018-03-17,六,True,
2018-03-18,日,True,
2018-03-24,六,True,
2018-03-25,日,True,
2018-04-01,日,True,
2018-04-04,三,True,兒童節
2018-04-05,四,True,民族掃墓節
2018-04-06,五,True,調整放假
2018-04-07,六,True,
2018-04-08,日,True,
2018-04-14,六,True,
2018-04-15,日,True,
2018-04-21,六,True,
2018-04-22,日,True,
2018-04-28,六,True,
2018-04-29,日,True,
2018-05-05,六,True,
2018-05-06,日,True,
2018-05-12,六,True,
2018-05-13,日,True,
2018-05-19,六,True,
2018-05-20,日,True,
2018-05-26,六,True,
2018-05-27,日,True,
2018-06-02,六,True,
2018-06-03,日,True,
2018-06-09,六,True,
2018-06-10,日,True,
2018-06-16,六,True,
2018-06-17,日,True,
2018-06-18,一,True,端午節
2018-06-23,六,True,
2018-06-24,日,True,
2018-06-30,六,True,
2018-07-01,日,True,
2018-07-07,六,True,
2018-07-08,日,True,
2018-07-14,六,True,
2018-07-15,日,True,
2018-07-21,六,True,
2018-07-22,日,True,
2018-07-28,六,True,
2018-07-29,日,True,
2018-08-04,六,True,
2018-08-05,日,True,
2018-08-11,六,True,
2018-08-12,日,True,
2018-08-18,六,True,
2018-08-19,日,True,
2018-08-25,六,True,
2018-08-26,日,True,
2018-09-01,六,True,
2018-09-02,日,True,
2018-09-08,六,True,
2018-09-09,日,True,
2018-09-15,六,True,
2018-09-16,日,True,
2018-09-22,六,True,
2018-09-23,日,True,
2018-09-24,一,True,中秋節
2018-09-29,六,True,
2018-09-30,日,True,
2018-10-06,六,True,
2018-10-07,日,True,
2018-10-10,三,True,國慶日
2018-10-13,六,True,
2018-10-14,日,True,
2018-10-20,六,True,
2018-10-21,日,True,
2018-10-27,六,True,
2018-10-28,日,True,
2018-11-03,六,True,
2018-11-04,日,True,
2018-11-10,六,True,
2018-11-11,日,True,
2018-11-17,六,True,
2018-11-18,日,True,
2018-11-24,六,True,
2018-11-25,日,True,
2018-12-01,六,True,
2018-12-02,日,True,
2018-12-08,六,True,
2018-12-09,日,True,
2018-12-15,六,True,
