slang,formal
netaas,menetas
nyenengin,menyenangkan
gemesiin,menggemaskan
saranin,menyarankan
nemuin,menemukan
ngikutin,mengikuti
nyamain,menyamakan
nyangka,menyangka
nyebur,mencebur
ngomong,mengomong
mamer,memamerkan
kebukaaa,terbuka
ngeliatnya,melihatnya
mantes,memantas
ngakak,mengakak
nakutin,menakutkan
megang,memegang
kawinin,mengawini
liatin,memperlihatkan
gemesin,menggemaskan
fotoin,memfoto
ngaku,mengaku
bungkusin,bungkuskan
ngegantiin,menggantikan
ngapain,mengapai
ninggalin,meninggalkan
gantiin,menggantikan
dimusiumin,dimuseumkan
ikutin,mengikuti
kunjungin,kunjungi
diluangin,diluangkan
nangis,menangis
"ngaku""",mengaku-ngaku
kejawab,terjawab
kebalas,terbalas
ikutin,ikuti
nyempetin,menyempatkan
ngobrol,mengobrol
namain,menamai
liatin,perlihatkan
sisain,menyisakan
nyari,mencari
ngerti,mengerti
nyanyiin,menyanyikan
ngajak,mengajak
nyaru,menyaru
milikin,memiliki
kirain,mengira
nyeplak,menjiplak
diputusin,diputuskan
ngadain,mengadakan
rekomendasiin,merekomendasikan
bosenin,membosankan
bayangin,bayangkan
nyesel,menyesal
besarin,membesarkan
ngelarang,melarang
ngeliat,melihat
nyampe,sampai
kbawa,terbawa
nikahin,menikahi
nyambung,menyambung
dapetin,mendapati
beliin,membelikan
ngerasa,merasa
ngeselin,mengesalkan
rasain,rasai
ngelihatnya,melihatnya
ngocok,mengocok
nyoba,mencoba
diginikan,dibeginikan
gambarin,gambarkan
digambarin,digambarkan
ngaco,mengaco
ngomen,mengomentari
nontonx,menontonnya
kepingin,pengin
ngantri,mengantri
nraktir,mentraktir
nonton,menonton
nontonya,menontonnya
nunggu,menunggu
banggain,banggakan
bagiin,bagikan
nanggepin,menanggapi
kirimin,mengirimi
senengin,senangi
ngasih,mengasih
nyangkaa,menyangka
nungguin,menunggu
ngeluarin,mengeluarkan
adain,mengadakan
buktiin,buktikan
buktiin,membuktikan
nyebelin,menyebalkan
ngilangin,menghilangkan
ledekin,ledeki
ninggiin,meninggikan
balesin,membalas
ngegemesin,menggemaskan
jagain,jaga
ngekeh,kekeh
ngelihat,melihat
ngelawak,melawak
nyolotinnnn,menyolot
smnagatin,menyemangati
ngakaaaakkk,mengakak
ngekek,mengekek
pegangin,memegang
nyender,menyandar
