COL0,RA,DEC,Z,TILE_7DT,OBSDATE,m400_AUTOMAG,m400_AUTOERR,m400_APER5MAG,m400_APER5ERR,m425_AUTOMAG,m425_AUTOERR,m425_APER5MAG,m425_APER5ERR,m450_AUTOMAG,m450_AUTOERR,m450_APER5MAG,m450_APER5ERR,m475_AUTOMAG,m475_AUTOERR,m475_APER5MAG,m475_APER5ERR,m500_AUTOMAG,m500_AUTOERR,m500_APER5MAG,m500_APER5ERR,m525_AUTOMAG,m525_AUTOERR,m525_APER5MAG,m525_APER5ERR,m550_AUTOMAG,m550_AUTOERR,m550_APER5MAG,m550_APER5ERR,m575_AUTOMAG,m575_AUTOERR,m575_APER5MAG,m575_APER5ERR,m600_AUTOMAG,m600_AUTOERR,m600_APER5MAG,m600_APER5ERR,m625_AUTOMAG,m625_AUTOERR,m625_APER5MAG,m625_APER5ERR,m650_AUTOMAG,m650_AUTOERR,m650_APER5MAG,m650_APER5ERR,m675_AUTOMAG,m675_AUTOERR,m675_APER5MAG,m675_APER5ERR,m700_AUTOMAG,m700_AUTOERR,m700_APER5MAG,m700_APER5ERR,m725_AUTOMAG,m725_AUTOERR,m725_APER5MAG,m725_APER5ERR,m750_AUTOMAG,m750_AUTOERR,m750_APER5MAG,m750_APER5ERR,m775_AUTOMAG,m775_AUTOERR,m775_APER5MAG,m775_APER5ERR,m800_AUTOMAG,m800_AUTOERR,m800_APER5MAG,m800_APER5ERR,m825_AUTOMAG,m825_AUTOERR,m825_APER5MAG,m825_APER5ERR,m850_AUTOMAG,m850_AUTOERR,m850_APER5MAG,m850_APER5ERR,m875_AUTOMAG,m875_AUTOERR,m875_APER5MAG,m875_APER5ERR,g_AUTOMAG,g_AUTOERR,g_APER5MAG,g_APER5ERR,r_AUTOMAG,r_AUTOERR,r_APER5MAG,r_APER5ERR,i_AUTOMAG,i_AUTOERR,i_APER5MAG,i_APER5ERR
1,6.5106079,-72.7883604,1.2300000190734863,T00832,20240921,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,18.22308047726553,0.10323044601703966,18.18452907357627,0.1458425179826247,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,17.840965738492244,0.09389586017438005,17.728442910035795,0.134638678166186,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
2,17.4433541,-66.849806,0.3569999933242798,T01505,20240726,17.977124489373224,0.08203690001497761,17.74409975060141,0.10119261926698835,17.885940157844644,0.07741349321678631,17.82153805636795,0.08709776270333708,17.972678302516425,0.0719742208418758,17.803098963442515,0.07685168875159278,17.557968614713268,0.10799887690884669,17.487247346779103,0.12459833455895991,17.624049127098747,0.05714090209611657,17.576643665031373,0.059855660238654795,18.055105157020776,0.07330617221521496,17.99087208156568,0.09308276159939265,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,18.056143265065916,0.09949124116976779,17.863560966473113,0.11458400646431013,17.5945956122214,0.07511080506564828,17.36023646304243,0.0818361797462276,17.707732995587634,0.07481929375005476,17.689404775062478,0.09679576128591248,17.564744717770875,0.07610121621095159,17.465006179693845,0.08328073932677692,18.136845289660922,0.095726542318162,17.674140077787147,0.11878329932712423,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
3,22.2584618,-67.7797793,2.503000020980835,T01400,20240826,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,17.754160430698686,0.05500499042616408,17.76902738465578,0.05606661552651243,18.16810904882373,0.07121356137734577,18.07731565758172,0.07314689558864301,18.14911303804866,0.0498834195390901,18.13141097238021,0.06680577577140391,18.10324731789349,0.05950715682083591,18.06012076854168,0.06755604781623699,17.802482174624494,0.059333405439159735,17.711910964017704,0.06549526779062037,17.889927403345453,0.060628484189771216,17.826668577168,0.06318485579644188,18.119041257476553,0.06923001648426089,18.02323337748874,0.08110538865212223,18.04032382628203,0.07474121616891023,17.96703777294085,0.09685008047359665,17.87686023497593,0.05901564867876332,17.751135121191986,0.07252997642669484,17.463248320855715,0.05127283359111341,17.445671131880367,0.05734439197748468,17.981418134867617,0.08314540338800469,17.929766663758635,0.10460204354999549,17.948027803814362,0.09448077981607636,17.565874570730806,0.10222945681265432,17.643354119484002,0.08779019067849864,17.533083782291605,0.1144610602169326,99.0,99.0,99.0,99.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
9,33.6673885,-68.6593699,0.3050000071525574,T01300,20241023,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,18.78937074826782,0.06981088649482498,18.50134643868341,0.07354329971889043,18.563545605736305,0.06795966353681522,18.43161712373005,0.07938012689752984,99.0,99.0,99.0,99.0,18.768638384457297,0.07924308090774465,18.208184588727217,0.08542535932705535,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,18.04012721074827,0.06217844413660625,17.824622015801996,0.07662783736623636,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
10,36.0474448,-70.6107094,2.8289999961853027,T01104,20240914,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,18.305382817991593,0.0851273934990014,18.022167529386454,0.12455684592089018,17.248882296928297,0.05833868602928398,17.205296313434133,0.05734662164998607,18.07906051337775,0.08005677381279978,18.01399529837514,0.10509353015843648,17.95481110611898,0.07545743330910949,17.93570407069239,0.09979942279938758,18.57509583983776,0.09928911591418081,17.873284055018434,0.11266882076236918,99.0,99.0,99.0,99.0,17.460002954434962,0.0677313334553695,17.424348945834513,0.07655405849732735,17.584359017354405,0.07370872817298557,17.527109459498227,0.09239726601735916,18.03293758013073,0.08044312808042163,17.69991938803274,0.10132985343558285,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
11,42.9832024,-67.300098,1.0019999742507935,T01513,20241114,17.346614852620352,0.08894638149261347,17.317792524000808,0.11457140846427145,17.43002362460046,0.08946969222183049,17.469455831547453,0.1290934684491789,17.529475109094953,0.08271354367420791,17.398969574902242,0.10949403077392823,17.075188486069802,0.06604582150674325,16.991692989348245,0.07424665938634155,17.21980614880423,0.051995380349135444,17.123547402621636,0.07159102360853008,16.992933541003378,0.05659087009168046,16.90413673720784,0.060049580956532664,16.99946478992699,0.05369769998862904,16.91903121247175,0.06771674643109535,16.878940272581705,0.048873240687153235,16.81501486528798,0.06162671026433598,17.179031115316793,0.058860037518664594,17.122071887369124,0.0663751964512979,16.96759767940803,0.06318098631788714,17.00386273415529,0.06874960951955873,17.102195995468243,0.06573188275512865,16.93595345934743,0.07719982440379039,17.118886223899953,0.06793103919179644,17.067167119591808,0.09081731716114363,17.05936541125846,0.06962308774822108,17.021729797387877,0.09659773299975367,17.12627507724795,0.09288314754921173,17.079262555497245,0.12449150175021544,17.143153485493354,0.0864180496643393,16.961059087832336,0.12742951327226987,17.17761002401441,0.10667287010270081,16.993204651247254,0.18155147043678957,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
13,44.2759348,-73.4079049,1.6579999923706055,T00760,20241204,999.0,999.0,999.0,999.0,18.827343923310504,0.08386074634915588,18.804002869316015,0.11969913302011619,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,18.68183198337953,0.0645200805626431,18.449834376613747,0.06969238852439237,18.650565803190776,0.0724869624634476,18.623165871564606,0.09143156810648351,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,999.0,999.0,999.0,999.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,999.0,999.0,999.0,999.0
15,44.5133616,-73.4140214,1.3339999914169312,T00760,20241204,999.0,999.0,999.0,999.0,19.014143923310503,0.08794330433999771,18.782002869316013,0.11741870568937246,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,19.07553198337953,0.08509647933851291,18.981234376613745,0.11306418096919492,19.173665803190776,0.09810040635582128,18.999165871564607,0.12897628327103602,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,999.0,999.0,999.0,999.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,999.0,999.0,999.0,999.0
19,47.9802087,-76.8641239,0.22499999403953552,T00479,20240921,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,16.763228037891032,0.06796363374238548,16.74151960870163,0.07043661970009085,16.828042383037015,0.0628288396191673,16.805365035127704,0.06084587234057758,16.8857200776358,0.0618746569995616,16.812818577713173,0.06593996367895935,16.627293661992965,0.05252665269995872,16.660817763820845,0.053383006532025726,16.85097476700625,0.06073281090961115,16.718074397438112,0.07316023568059397,99.0,99.0,99.0,99.0,16.089776592264364,0.05194142907203317,16.147397795412353,0.047584113743251985,16.395274282020385,0.051293499920687,16.356032782855692,0.052112019787539675,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,16.639352007154088,0.07377011722844232,16.57058213681787,0.09546214282776164,16.490188870361838,0.07816888957603244,16.36532831613188,0.07885927348622022,16.729650272740983,0.1006340808274291,16.340128961187112,0.11631221079255508,99.0,99.0,99.0,99.0,13.495959913319599,0.10272581473107487,13.783847177239165,0.1074129126155824,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
21,48.0385439,-69.7583492,0.796999990940094,T01203,20241129,17.43068087649819,0.04527802017024893,17.418986624321143,0.038966274108418915,17.227154002015254,0.02719148499154002,17.19670547764031,0.030062241188149822,17.258835736314012,0.02698229541492097,17.19820033513985,0.027472880676141283,17.200219302851966,0.02380026603914741,17.177199920745124,0.02438399017345037,16.953463133456047,0.019858896495652686,16.938370242600545,0.01797176045232104,17.09523476612906,0.02553180057667878,17.079999683208083,0.024467530359111114,17.057797799498537,0.03558990884263269,17.02993185243724,0.032174489972293656,17.006656947586364,0.030416197806031706,16.979253667849612,0.028337823265485694,16.934561485404593,0.028103472123301915,16.91867380500405,0.026078874881813527,16.91646637335527,0.03027393603060277,16.89610398118488,0.029491549519147474,17.007593318007782,0.03569972029468476,16.989597181382983,0.0375598553029957,17.06815436872827,0.038802806963916775,17.03800263715818,0.0408854051683654,16.92607775353084,0.0443945941317852,16.928925316292105,0.048296686181670906,17.180067271915306,0.0741108685573786,17.160396976436573,0.08578560693522048,17.118937851666217,0.07373051020158332,16.991579734053378,0.08495427218562751,17.122336236032567,0.08444613748842443,16.88330502374176,0.12354889774349066,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,17.118942757383625,0.013333308515393839,17.113498429424595,0.010253597668510809,16.9986445878302,0.019082234020082387,16.986291136150165,0.012331341345090119,999.0,999.0,999.0,999.0
