COL0,RA,DEC,NAME,Z,MAG_AUTO_B,MAG_AUTO_V,MAG_AUTO_R,MAG_AUTO_I,FLAG_KS4,TILE_7DT,DETECT,DETECT_MED
0,4.5272545,-71.9317135,VMC J001806.53-715554.2,0.6200000047683716,19.413677546192964,19.412551791973264,19.44675322907234,19.2277077690911,0,T00915,0,0
1,6.5106079,-72.7883604,WISEA J002602.54-724718.0,1.2300000190734863,18.319570296149642,17.967581891534223,17.645484798338128,17.7104597335615,0,T00832,1,1
2,17.4433541,-66.849806,UVQSJ010946.39-665059.2,0.3569999933242798,17.525511851444804,17.5549274791005,17.377280453770826,17.365295080168785,0,T01505,1,1
3,22.2584618,-67.7797793,QBQS J012902.03-674647.2,2.503000020980835,17.812721921555955,17.877111206932895,17.656007435063863,17.446414810401137,0,T01400,1,1
4,24.9983334,-67.7869445,XWAS J013959.6-674713,1.3519999980926514,21.655562258998753,21.43558091589036,21.217943329624383,21.403210696223624,4,T01400,0,0
5,25.004506,-67.6524775,XWAS J014001.0-673909,1.649999976158142,21.35588764568308,21.340829137225004,21.000795971080016,20.735073271842264,4,T01400,0,0
6,25.1542526,-67.6623442,XWAS J014037.0-673944,1.340000033378601,21.33832539104382,21.185112634206906,20.845551110390137,20.57529632624037,0,T01400,0,0
7,25.2068751,-67.77075,XWAS J014049.6-674615,2.1019999980926514,20.861684574466615,20.670885208552775,20.749014345374206,20.98988067205812,4,T01400,0,0
8,27.3531731,-72.075651,QBQS J014924.76-720432.3,1.8990000486373901,19.219246894042193,18.62393113264652,18.294988270151407,17.889089031037116,4,T00921,0,0
9,33.6673885,-68.6593699,2MASS J02144017-6839338,0.3050000071525574,18.512126137455052,18.113025858266674,17.83762095346672,17.475556385011256,0,T01300,1,1
10,36.0474448,-70.6107094,QBQS J022411.35-703638.6,2.8289999961853027,17.727911617911005,17.844362412997388,17.732713342236682,17.724679621446953,0,T01104,1,1
11,42.9832024,-67.300098,PKS 0251-67,1.0019999742507935,16.923630328669585,16.649735023988324,16.668331628581697,16.71604774667256,0,T01513,1,1
12,43.6664759,-72.9257945,VMC J025439.93-725532.9,2.078000068664551,20.84796703104448,20.610556373929427,20.541532881944008,20.361071843784412,4,T00840,0,0
13,44.2759348,-73.4079049,VMC J025706.20-732428.5,1.6579999923706055,18.6877603974018,18.6973201968013,18.561921201867086,18.330750073182884,0,T00760,1,1
14,44.4785283,-73.1804815,VMC J025754.82-731049.7,1.5880000591278076,20.332722179982934,20.10640479021423,19.75334316373295,19.5028031579031,0,T00840,1,0
15,44.5133616,-73.4140214,VMC J025803.19-732450.6,1.3339999914169312,19.706979807863984,19.507424246150904,19.244027953260563,19.162276549069247,0,T00760,1,1
16,45.177527,-73.664292,VMC J030042.62-733951.5,1.6970000267028809,19.592420588140136,19.484636697905522,19.42001824232199,19.202209454726752,0,T00760,1,0
17,45.8370819,-79.249034,CGRaBS J0303-7914,1.1150000095367432,19.33891542385094,19.3990906428854,19.359613528429954,19.527843056704885,0,T00361,0,0
18,47.3833889,-76.8125,XMM J03095-7648,1.8380000591278076,22.159751413801388,22.3503792782438,21.87948671204893,21.60392598273821,4,T00543,0,0
19,47.9802087,-76.8641239,PKS 0312-77,0.22499999403953552,16.351116169938454,16.364485893554534,16.18916595368755,15.687917239592377,0,T00479,1,1
20,48.03731,-76.8703733,XMM J03121-7652,0.8899999856948853,19.000235535882204,18.752107329123774,18.761676546096172,18.714889959611014,0,T00479,0,0
21,48.0385439,-69.7583492,UVQSJ031209.25-694530.0,0.796999990940094,17.1937219645011,17.032212418128232,17.054327712284955,16.995931923754835,0,T01203,1,1
22,48.2995559,-76.9084445,XMM J03132-7654,1.2740000486373901,19.993411626728985,19.680518699282622,19.535371606493435,19.52101739488408,0,T00479,1,1
23,48.3941365,-76.8081851,XMM J03135-7648,1.4459999799728394,20.27232266385283,20.24032990699775,19.93283688766944,19.750119808127085,0,T00543,0,0
24,48.4567778,-76.7666667,XMM J03138-7646,2.140000104904175,21.533692994933183,21.36332316885993,21.254316483429662,21.093693461412332,0,T00543,0,0
25,48.569352,-76.7600243,XMM J03142-7645,0.2460000067949295,20.47301769822577,19.961627022240137,19.628801334821002,19.239749095585317,0,T00543,0,0
26,53.5080455,-61.5381165,RXS J03340-6132,0.17599999904632568,15.851860067933897,15.714125983093654,15.757046209956574,15.45499164301765,0,T02243,1,1
27,57.9433834,-73.6246446,VMC J035146.41-733728.8,2.4769999980926514,19.47774615668995,19.408566703486205,19.308402598037603,19.31385255966301,0,T00763,1,0
28,57.9745,-73.6081667,VMC J035153.88-733629.4,2.617000102996826,21.868845026917963,20.767144542089337,20.55161632948686,20.484284998612583,4,T00763,0,0
29,58.0904584,-73.4615,VMC J035221.71-732741.4,1.215999960899353,24.338653864495598,21.527046462541573,20.81131340822645,20.586146539781502,4,T00763,0,0
30,58.9495118,-66.7593928,IVS B0355-669,0.7749999761581421,18.680622293991604,18.714034128895303,18.638522155967685,18.48507400395433,0,T01518,1,1
31,60.3816711,-74.2804018,VMC J040131.58-741649.4,1.715999960899353,20.13773755267436,19.67850362026413,19.589917360856983,19.359011411090815,0,T00687,0,0
32,60.7455599,-73.7890299,VMC J040258.93-734720.6,1.628999948501587,19.76518039434331,19.67910515391876,19.675649763453713,19.427978561271516,0,T00763,0,0
33,61.5627084,-74.1626945,VMC J040615.05-740945.7,2.1010000705718994,19.88957879399701,19.897135302727513,19.870798356776582,19.666116712086456,0,T00764,1,0
34,61.7621713,-71.1612385,XWAS J040702.9-710940,2.619999885559082,18.365649853321948,18.34991076318368,18.178516184000095,18.140146238430745,0,T01018,1,1
35,61.832875,-71.4430556,XWAS J040719.9-712635,0.6349999904632568,20.944271656162048,20.88287699486188,20.88522598662427,20.427540487989646,4,T01018,0,0
36,62.2147084,-71.2956667,XWAS J040851.5-711744,1.3899999856948853,21.369713525149344,21.219554600647115,21.213683894429792,21.204736128762153,2,T01018,0,0
37,62.2544654,-71.2212061,XWAS J040901.1-711316,2.631999969482422,17.537315766039985,17.68629337586613,17.441568302191126,17.38276636516283,0,T01018,1,1
38,62.2587876,-71.1314888,XWAS J040902.1-710753,1.2630000114440918,18.90844752867226,18.843951037489575,18.688016112713285,18.747750538208095,0,T01018,1,1
39,62.2704702,-71.2340828,XWAS J040904.9-711403,1.8949999809265137,20.198370034185572,20.00637329390906,19.83856650717,19.4805981697755,0,T01018,0,0
40,62.4985834,-71.1287223,XWAS J040959.7-710743,2.3480000495910645,22.571723820177866,22.13859145388891,22.521672300605054,22.021889742082365,4,T01018,0,0
41,62.5350092,-71.3651186,XWAS J041008.5-712154,1.6239999532699585,20.858277826024086,20.66923624737257,20.426451683749708,20.120421977742247,2,T01018,0,0
42,62.5553514,-71.1917298,XWAS J041013.3-711130,3.4649999141693115,19.93728541370648,19.365591153387776,19.095457807402305,18.95613159552684,4,T01018,1,0
43,62.5981667,-71.5015834,XWAS J041023.6-713006,2.062999963760376,21.52788375618404,21.56660735665588,21.38363146215148,20.9339705963793,4,T01018,0,0
44,62.659,-71.3236945,XWAS J041038.2-711925,2.421999931335449,22.24176424679848,22.306157053477012,22.196200772020802,21.83374488192996,4,T01018,0,0
45,62.7857917,-71.2285278,XBS J041108.1-711341,0.9350000023841858,20.737861405956167,20.364241970359934,20.286295391798205,20.2594397214399,0,T01018,0,0
46,62.8758334,-71.2656112,XWAS J041130.2-711556,1.1169999837875366,21.20140458941948,20.965039819523447,20.95212191963087,20.900336423410597,4,T01018,0,0
47,62.8849584,-71.2083056,XWAS J041132.4-711230,1.9170000553131104,21.573928469832506,21.600892052879278,21.491283481782038,21.43620796153603,4,T01018,0,0
48,63.8339005,-63.1373759,MS 04147-6315,0.6140000224113464,17.975369811193403,17.895962175006094,17.844606079605185,17.55899847943721,0,T02116,1,1
49,68.3790176,-69.1455416,MQS J043330.96-690844.0,3.0280001163482666,19.5608082367748,19.371692562945576,19.20770459915362,19.16660064307353,0,T01310,0,0
50,68.4370191,-68.6790287,MQS J043344.89-684044.4,2.174999952316284,20.53985442186862,20.473262533966242,20.05798290414633,19.69894817760836,0,T01310,0,0
51,69.8489483,-65.6063367,QBQS J043923.74-653622.8,3.3989999294281006,18.999946506333135,18.044443159910184,17.899517159482475,17.689939896731445,4,T01749,1,1
52,70.825966,-66.8679252,4FGL J0443.3-6652,0.7459999918937683,19.594734292160783,19.551184764930724,19.379496913100287,19.038675782318574,0,T01522,1,0
53,72.4240912,-66.8666609,MQS J044941.78-665159.9,1.5880000591278076,18.393112214078343,18.49959021120891,18.322951520742542,18.184596588246563,0,T01522,1,1
54,72.522657,-81.0172893,PKS 0454-81,0.4440000057220459,19.54828869958847,19.194316689096873,18.74470577087235,19.047789599841774,4,T00264,0,0
55,74.3490834,-78.3466668,MGICJ0457-7820,3.1449999809265137,18.872950903629015,18.054548643329003,17.704302784531986,17.50799982337067,2,T00422,1,0
56,75.710964,-62.4612752,ABQ J0502-6227,0.38199999928474426,16.15177465245895,16.23306156294696,16.147227427293675,16.203671469745508,0,T02120,1,1
57,75.8147758,-64.9153113,VMC J050315.54-645455.3,2.311000108718872,20.142972198368433,19.818421129927614,19.958551439466195,19.886947221360927,4,T01751,1,0
58,76.68329,-61.1613864,PKS 0506-61,1.093000054359436,17.42096962063023,17.003965591102432,16.89292632919658,16.899821916849405,0,T02385,1,1
59,76.9777878,-61.0786441,PMN J0507-6104,1.0889999866485596,20.269863577424424,19.612792113401277,19.583542169790707,19.503210368776323,2,T02385,1,1
60,78.2350772,-62.6940178,UVQSJ051256.42-624138.4,0.8999999761581421,16.891305832581228,16.777781438713966,16.85068040387418,16.754411494589238,2,T02121,1,1
61,80.643434,-61.1325372,PKS 0522-611,1.399999976158142,18.902743482296515,18.698057678338635,18.621395751335353,18.43731802739305,0,T02387,0,0
62,82.319937,-76.4197919,AT20GJ052916-762511,0.6179999709129333,16.775419968002897,16.76310718039465,16.865838226945243,16.854826580561728,0,T00550,1,1
63,83.6490469,-61.1019647,PKS 0534-611,1.996999979019165,18.893130090749363,18.768982025092594,18.695269660982206,18.624767125660085,0,T02388,1,1
64,85.1910332,-54.306137,PKS 0539-543,1.184999942779541,18.006128765013543,17.754509325564424,17.57469787607368,17.59018807610602,0,T03591,1,1
65,87.0133482,-48.8036539,QBQS J054803.20-484813.1,4.146999835968018,18.77313417260001,17.745812488556243,16.8852973221504,16.761625831313424,4,T04819,1,1
66,88.0023245,-53.2120733,CTS H34.02,1.590000033378601,15.803107109637727,15.75057297959852,15.519677301918051,15.388783839516714,0,T03758,1,1
67,88.0418342,-45.3735192,IVS B0550-453,0.8009999990463257,18.1558134388582,17.926320588801694,17.93430932442517,18.071007296653875,0,T05589,1,1
68,88.2620404,-47.7489747,CT 653,2.0299999713897705,18.413629386440668,18.533809241840867,18.36436214004089,18.075291172557865,0,T05008,0,0
69,89.016293,-68.5504487,MQS J055603.91-683301.6,2.502000093460083,20.01269527371489,19.914970692555475,19.668935253889376,19.77244630963855,0,T01315,1,0
70,89.0785082,-68.7590646,MQS J055618.85-684532.6,1.4079999923706055,19.45828074428993,19.68118433362472,19.44016879984707,19.443189974882024,0,T01315,1,0
71,89.0839692,-68.5637794,MQS J055620.16-683349.6,1.0800000429153442,19.440537045059298,19.474740554298222,19.426029489342273,19.433825714782255,0,T01315,1,0
72,89.3432749,-67.2226183,69.12549.21,0.1420000046491623,16.988242943023202,16.689038930937347,16.70505008500062,16.249364468799232,0,T01528,1,1
73,89.5563656,-36.3298484,CTS A33.03,2.2200000286102295,18.03072631120274,17.86871979568976,17.72932286351284,17.48164562524807,0,T07714,1,1
74,89.8314789,-68.7216066,MQS J055919.57-684317.7,1.7170000076293945,18.854898878515296,19.024492184833377,19.086346505908402,19.164502378456717,2,T01316,0,0
75,89.9535232,-68.5224358,MQS J055948.84-683120.8,0.6470000147819519,19.83236353835945,19.966312769719902,19.665071574430417,19.4404214446678,0,T01316,0,0
76,89.995951,-68.5409656,MQS J055959.01-683227.5,2.5280001163482666,19.498778763473705,19.464530164740474,19.278918188143674,19.209811500026387,4,T01316,0,0
77,90.1453244,-68.8190336,MQS J060034.86-684908.5,0.6949999928474426,20.248244312700034,20.56269033235626,20.279605379612963,20.026115757255955,4,T01316,0,0
78,90.5074198,-68.6824954,MQS J060201.78-684057.0,1.9709999561309814,19.869347695300373,19.534705550572376,19.585596449833226,19.377396812151144,4,T01316,0,0
79,90.5701442,-67.032266,VMC J060216.83-670156.3,1.190000057220459,19.58361192282425,19.511048304559523,19.43553089218881,19.644518492104524,0,T01528,1,0
80,90.6430193,-68.5114969,75.13376.66,1.0859999656677246,18.499794451775475,18.374202990844907,18.398951631206163,18.60132423949326,0,T01316,1,1
81,92.6262418,-60.9771588,PKS 0609-609,1.7730000019073486,19.923381469366706,19.736028377452307,19.76192157738564,19.49929383505242,0,T02391,0,0
82,93.0798512,-55.7392271,QBQS J061219.16-554421.2,2.2850000858306885,18.043016766260735,17.829487639094108,17.729194923994044,17.57897742571555,0,T03273,1,1
83,94.6256613,-78.7172611,PKS 0621-786,0.9419999718666077,17.21565782252874,17.007041699009026,17.15038559808815,17.206680227458097,0,T00369,1,1
84,96.2672751,-59.1458328,OzDES-DR2_03807,1.690999984741211,21.064373740797333,21.143316251699606,20.93711082797414,20.732703370422957,2,T02673,0,0
85,96.291688,-58.090758,OzDES-DR2_03808,2.0339999198913574,21.408707153228267,21.34292337333422,21.200242447172588,20.891413574239458,4,T02966,0,0
86,96.9878674,-59.6280517,OzDES-DR2_03511,1.2350000143051147,19.43273774811063,19.277169083714718,19.04009170041987,18.96216019340834,0,T02673,1,1
87,96.9925165,-59.2971532,OzDES-DR2_03816,1.8940000534057617,19.59828775353235,19.517256509951906,19.461642346955657,19.192327836271062,0,T02673,1,0
88,96.9943221,-59.6465939,OzDES-DR2_03817,2.255000114440918,20.311858557398782,20.115571395193548,20.03926981052019,19.79192282539876,0,T02673,1,1
89,97.0372255,-59.665568,OzDES-DR2_03818,0.722000002861023,20.956401721800834,20.822666231082444,20.610663567222385,20.47819242356899,4,T02673,0,0
90,97.1272364,-59.3231986,OzDES-DR2_03515,2.075000047683716,20.698641180582992,20.605584307313862,20.5491618656711,20.302371763230777,0,T02673,1,0
91,97.142296,-59.28289,OzDES-DR2_03516,2.562999963760376,22.010691247506166,21.56672827477633,20.969777720503213,20.440274032003963,4,T02673,0,0
92,97.2131183,-59.6901492,OzDES-DR2_04646,0.5059999823570251,19.696086074728058,19.6366468157375,19.426465122494903,19.16341059006728,0,T02673,1,0
93,97.2905169,-59.1978002,OzDES-DR2_03825,1.8020000457763672,19.61290245022362,19.565123711180558,19.45966725409905,19.209914524718734,0,T02673,1,1
94,97.3127514,-59.4486208,OzDES-DR2_03519,1.9010000228881836,20.670449486924863,20.536640136987845,20.6161277667198,20.416643446952442,0,T02673,0,0
95,97.3240502,-59.2695708,OzDES-DR2_04648,1.2480000257492065,20.155079928945693,19.95320130991327,19.735412005303083,19.811871963280865,0,T02673,0,0
96,97.3457907,-59.5621779,OzDES-DR2_03826,1.6799999475479126,21.146056886375703,21.024728288007,20.950811045922276,20.704336300269944,4,T02673,0,0
97,97.386476,-59.600133,OzDES-DR2_03827,1.6759999990463257,22.63027089452351,22.54329469259489,22.220913372029425,21.765274291059896,4,T02673,0,0
98,97.4109205,-59.405121,OzDES-DR2_03523,0.8820000290870667,20.432156863386297,20.120466500529375,20.064032851511666,20.111886488727,0,T02673,1,0
99,97.485334,-59.3931222,OzDES-DR2_04657,0.824999988079071,22.107703400983645,21.631147324894755,21.33597768358612,20.90427763986553,4,T02673,0,0
100,97.508745,-59.4676722,OzDES-DR2_03528,2.4839999675750732,21.011508404936663,20.828048275365045,20.8348409077473,20.796828545016574,4,T02673,0,0
101,97.5208928,-59.6770683,OzDES-DR2_03529,0.5139999985694885,18.92305509047289,18.913311222491394,18.8790007924539,18.76455500048147,0,T02673,1,1
102,97.5379407,-59.5469384,OzDES-DR2_03531,0.8690000176429749,18.23560046192384,18.00856536777192,18.112584055264648,18.172061149202968,0,T02673,1,1
103,97.5519751,-59.6520351,OzDES-DR2_03532,1.0980000495910645,21.38549553569215,20.503740106435,20.181026953680583,19.473310080769984,4,T02673,0,0
104,97.603297,-59.357394,OzDES-DR2_03534,1.6399999856948853,22.211684335951297,21.773992097621523,20.921099581375465,20.389995496640722,4,T02673,0,0
105,97.850883,-59.583557,OzDES-DR2_03830,2.0829999446868896,21.080827712211498,21.03933821532254,21.28223371777842,20.730249515775316,2,T02673,0,0
106,97.9432723,-64.4375565,6dF J063146.4-642615,0.8870000243186951,15.993664421177845,15.910664055721938,15.893386477236062,15.817464708095741,0,T01878,1,1
107,97.9519608,-59.5044815,OzDES-DR2_03540,0.8140000104904175,20.579286120762134,20.36926740547493,20.193737566397488,20.131105404421756,0,T02673,0,0
108,97.9719579,-59.1149015,OzDES-DR2_03542,0.9399999976158142,20.630506875798428,20.267836986699542,20.3317868396872,20.149340032383098,0,T02673,0,0
109,97.9989314,-59.1501253,OzDES-DR2_03832,0.7260000109672546,18.777141124627278,18.723952983554806,18.737232964104066,18.62408493616018,0,T02673,1,1
110,98.0466881,-59.2615873,OzDES-DR2_03834,1.965000033378601,20.377923449269804,20.273158715560378,20.23570206389619,19.99313477296982,0,T02673,1,0
111,98.0646454,-59.3387141,OzDES-DR2_03547,2.244999885559082,20.38579258873413,20.167524889303746,19.988703742657613,19.89543167329251,4,T02673,1,0
112,98.0863291,-59.5239792,OzDES-DR2_03836,1.621000051498413,20.2626598697928,20.22449773064322,20.120365480170697,19.97734036880108,0,T02673,1,0
113,98.1331035,-59.1507879,OzDES-DR2_03837,1.8569999933242798,20.892453263454126,20.96524168948598,20.7418540982192,20.446614503185963,4,T02673,0,0
114,98.1968658,-59.594807,OzDES-DR2_03839,1.5859999656677246,20.977687259839172,21.00494319537108,20.735258777160638,20.70679465882515,4,T02673,0,0
