MJD,Mag,DMag,magsys,Telescope,Detector,Source
57887.97000,12.620,0.040,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57891.91000,12.530,0.060,Landolt,M70,--,Tsvektkov+18: arXiv:1801.00340
57898.02000,12.500,0.090,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
57900.95000,12.940,0.010,Landolt,K250,--,Tsvektkov+18: arXiv:1801.00340
57900.98000,12.820,0.100,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
57903.85000,13.100,0.060,Landolt,M70,--,Tsvektkov+18: arXiv:1801.00340
57903.96000,13.200,0.010,Landolt,K250,--,Tsvektkov+18: arXiv:1801.00340
57904.99000,13.220,0.060,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
57915.89000,14.320,0.040,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57922.95000,14.800,0.040,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57928.84000,15.040,0.050,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57933.93000,15.250,0.050,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57960.00000,16.140,0.050,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57967.06000,16.310,0.040,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57982.03000,16.910,0.050,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57989.98000,17.240,0.070,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57994.95000,17.690,0.060,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
