MJD,Mag,DMag,magsys,Telescope,Detector,Source
57887.97000,13.130,0.010,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57889.91000,12.930,0.020,Landolt,P40,--,Tsvektkov+18: arXiv:1801.00340
57891.91000,12.890,0.020,Landolt,M70,--,Tsvektkov+18: arXiv:1801.00340
57892.02000,12.860,0.010,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57898.02000,12.970,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
57900.95000,12.990,0.010,Landolt,K250,--,Tsvektkov+18: arXiv:1801.00340
57900.98000,13.000,0.010,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
57903.85000,13.050,0.010,Landolt,M70,--,Tsvektkov+18: arXiv:1801.00340
57903.96000,13.010,0.010,Landolt,K250,--,Tsvektkov+18: arXiv:1801.00340
57904.99000,13.020,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
57911.88000,13.060,0.010,Landolt,M70,--,Tsvektkov+18: arXiv:1801.00340
57911.89000,13.000,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57913.95000,13.100,0.020,Landolt,T18,--,Tsvektkov+18: arXiv:1801.00340
57915.89000,13.110,0.010,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57915.97000,13.070,0.030,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
57921.03000,13.180,0.010,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57922.95000,13.190,0.020,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57925.81000,13.210,0.010,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57925.95000,13.200,0.020,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
57927.04000,13.220,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57927.91000,13.220,0.010,Landolt,M70,--,Tsvektkov+18: arXiv:1801.00340
57928.84000,13.220,0.010,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57929.83000,13.230,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57930.82000,13.240,0.010,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57931.80000,13.240,0.010,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57932.81000,13.230,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57933.80000,13.220,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57933.93000,13.230,0.020,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57939.82000,13.270,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57941.90000,13.280,0.010,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57941.92000,13.260,0.030,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
57944.05000,13.280,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57955.96000,13.300,0.030,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
57960.00000,13.330,0.020,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57965.83000,13.380,0.020,Landolt,M20,--,Tsvektkov+18: arXiv:1801.00340
57967.06000,13.370,0.020,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57971.78000,13.410,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57975.07000,13.430,0.020,Landolt,S60,--,Tsvektkov+18: arXiv:1801.00340
57978.00000,13.510,0.010,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57979.97000,13.550,0.010,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57980.86000,13.580,0.020,Landolt,M20,--,Tsvektkov+18: arXiv:1801.00340
57982.03000,13.590,0.010,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57985.04000,13.630,0.020,Landolt,S100,--,Tsvektkov+18: arXiv:1801.00340
57985.79000,13.670,0.020,Landolt,M20,--,Tsvektkov+18: arXiv:1801.00340
57989.87000,13.800,0.020,Landolt,S60,--,Tsvektkov+18: arXiv:1801.00340
57989.98000,13.810,0.010,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57990.88000,13.860,0.010,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
57991.99000,13.880,0.010,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
57992.08000,13.880,0.010,Landolt,S60,--,Tsvektkov+18: arXiv:1801.00340
57993.03000,13.940,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
57993.96000,13.990,0.010,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
