MJD,Mag,DMag,magsys,Telescope,Detector,Source
57994.87000,13.990,0.020,Landolt,P40,--,Tsvektkov+18: arXiv:1801.00340
57994.95000,14.020,0.010,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
57996.80000,14.070,0.020,Landolt,P40,--,Tsvektkov+18: arXiv:1801.00340
57996.83000,14.150,0.030,Landolt,M20,--,Tsvektkov+18: arXiv:1801.00340
57997.86000,14.140,0.020,Landolt,P40,--,Tsvektkov+18: arXiv:1801.00340
57998.94000,14.140,0.050,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
58003.79000,14.770,0.010,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58004.87000,14.900,0.010,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58005.82000,15.030,0.010,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58006.76000,15.150,0.010,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58007.80000,15.280,0.010,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58008.75000,15.380,0.010,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58008.82000,15.370,0.050,Landolt,M20,--,Tsvektkov+18: arXiv:1801.00340
58008.97000,15.270,0.050,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
58010.94000,15.430,0.080,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
58012.93000,15.450,0.050,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
58013.81000,15.490,0.020,Landolt,P40,--,Tsvektkov+18: arXiv:1801.00340
58018.69000,15.720,0.040,Landolt,M20,--,Tsvektkov+18: arXiv:1801.00340
58018.95000,15.620,0.040,Landolt,P40,--,Tsvektkov+18: arXiv:1801.00340
58020.78000,15.640,0.050,Landolt,P40,--,Tsvektkov+18: arXiv:1801.00340
58021.80000,15.740,0.010,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
58022.71000,15.720,0.060,Landolt,M70,--,Tsvektkov+18: arXiv:1801.00340
58024.88000,15.730,0.050,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
58026.85000,15.720,0.060,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
58027.93000,15.800,0.020,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
58028.90000,15.710,0.060,Landolt,C70,--,Tsvektkov+18: arXiv:1801.00340
58043.65000,15.820,0.090,Landolt,M70,--,Tsvektkov+18: arXiv:1801.00340
58051.80000,16.000,0.020,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
58060.65000,16.160,0.030,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58062.64000,16.180,0.010,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58073.72000,16.310,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58074.77000,16.330,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58075.70000,16.340,0.020,Landolt,C60,--,Tsvektkov+18: arXiv:1801.00340
58094.72000,16.430,0.020,Landolt,T60,--,Tsvektkov+18: arXiv:1801.00340
